SEC            ( Area cm2   I2 cm4   I3 cm4)
YG:133x6.5        25.83     518.07    518.07
YG:133x7.0        27.71     551.58    551.58
YG:133x7.5        29.57     584.25    584.25
YG:133x8.0        31.42     616.11    616.11
YG:140x4.5        19.16     440.12    440.12
YG:140x5.0        21.21     483.76    483.76
YG:140x5.5        23.24     526.40    526.40
YG:140x6.0        25.26     568.06    568.06
YG:140x6.5        27.26     608.76    608.76
YG:140x7.0        29.25     648.51    648.51
YG:140x7.5        31.22     687.32    687.32
YG:140x8.0        33.18     725.21    725.21
YG:140x9.0        37.04     798.29    798.29
YG:140x10         40.84     867.86    867.86
YG:146x4.5        20.00     501.16    501.16
YG:146x5.0        22.15     551.10    551.10
YG:146x5.5        24.28     599.95    599.95
YG:146x6.0        26.39     647.73    647.73
YG:146x6.5        28.49     694.44    694.44
YG:146x7.0        30.57     740.12    740.12
YG:146x7.5        32.63     784.77    784.77
YG:146x8.0        34.68     828.41    828.41
YG:146x9.0        38.74     912.71    912.71
YG:146x10         42.73     993.16    993.16
YG:152x4.5        20.85     567.61    567.61
YG:152x5.0        23.09     624.43    624.43
YG:152x5.5        25.31     680.06    680.06
YG:152x6.0        27.52     734.52    734.52
YG:152x6.5        29.71     787.82    787.82
YG:152x7.0        31.89     839.99    839.99
YG:152x7.5        34.05     891.03    891.03
YG:152x8.0        36.19     940.97    940.97
YG:152x9.0        40.43     1037.59   1037.59
YG:152x10         44.61     1129.99   1129.99
YG:159x4.5        21.84     652.27    652.27
YG:159x5.0        24.19     717.88    717.88
YG:159x5.5        26.52     782.18    782.18
YG:159x6.0        28.84     845.19    845.19
YG:159x6.5        31.14     906.92    906.92
YG:159x7.0        33.43     967.41    967.41
YG:159x7.5        35.70     1026.65   1026.65
YG:159x8.0        37.95     1084.67   1084.67
YG:159x9.0        42.41     1197.12   1197.12
YG:159x10         46.81     1304.88   1304.88
YG:168x4.5        23.11     772.96    772.96
YG:168x5.0        25.60     851.14    851.14
YG:168x5.5        28.08     927.85    927.85
YG:168x6.0        30.54     1003.12   1003.12
YG:168x6.5        32.98     1076.95   1076.95
YG:168x7.0        35.41     1149.36   1149.36
YG:168x7.5        37.82     1220.38   1220.38
YG:168x8.0        40.21     1290.01   1290.01
YG:168x9.0        44.96     1425.22   1425.22
