  2,
1, 2, 
1.2,   -0.70,-7.74E-008,-7.74E-008,-7.74E-008,-2.65E-008,-2.65E-008,
   85,
   50,    0.000,    2.381,   -2.381,
   51,    0.000,    2.381,   -2.381,
   52,    0.000,    2.381,   -2.381,
   53,    0.000,    2.381,   -2.381,
   54,    0.000,    2.381,   -2.381,
   65,    0.000,    0.000,   -2.400,
   66,    0.000,    0.000,   -2.400,
   67,    0.000,    0.000,   -2.400,
   68,    0.000,    0.000,   -2.400,
   69,    0.000,    0.000,   -2.400,
   70,    0.000,    0.000,   -2.400,
   71,    0.000,    2.381,   -4.781,
   72,    0.000,    2.381,   -4.781,
   73,    0.000,    2.381,   -4.781,
   74,    0.000,    2.381,   -2.381,
   75,    0.000,    2.381,   -2.381,
   80,    0.000,   -3.571,    0.000,
   81,    0.000,   -3.571,    0.000,
   87,    0.000,    0.000,   -2.400,
   88,    0.000,    0.000,   -2.400,
   89,    0.000,    0.000,   -2.400,
   90,    0.000,    0.000,   -2.400,
   91,    0.000,    0.000,   -2.400,
   92,    0.000,    0.000,   -2.400,
   93,    0.000,    2.381,   -4.781,
   94,    0.000,    2.381,   -4.781,
   95,    0.000,    2.381,   -4.781,
   96,    0.000,    2.381,   -2.381,
   97,    0.000,    2.381,   -2.381,
  101,    0.000,   -3.571,    0.000,
  102,    0.000,   -3.571,    0.000,
  103,    0.000,   -3.571,    0.000,
  104,    0.000,   -3.571,    0.000,
  110,    0.000,    0.000,   -2.400,
  111,    0.000,    0.000,   -2.400,
  112,    0.000,    0.000,   -2.400,
  113,    0.000,    0.000,   -2.400,
  114,    0.000,    0.000,   -2.400,
  115,    0.000,    0.000,   -2.400,
  116,    0.000,    2.381,   -4.781,
  117,    0.000,    2.381,   -4.781,
  118,    0.000,    2.381,   -4.781,
  119,    0.000,    2.381,   -2.381,
  120,    0.000,    2.381,   -2.381,
  124,    0.000,   -3.571,    0.000,
  125,    0.000,   -3.571,    0.000,
  126,    0.000,   -3.571,    0.000,
  236,    0.000,    2.381,   -2.381,
  237,    0.000,    2.381,   -2.381,
  238,    0.000,    2.381,   -2.381,
  239,    0.000,    2.381,   -2.381,
  240,    0.000,    2.381,   -2.381,
  244,    0.000,   -3.571,    0.000,
  245,    0.000,   -3.571,    0.000,
  250,    0.000,    0.000,   -2.400,
  251,    0.000,    0.000,   -2.400,
  252,    0.000,    0.000,   -2.400,
  253,    0.000,    0.000,   -2.400,
  254,    0.000,    0.000,   -2.400,
  255,    0.000,    0.000,   -2.400,
  256,    0.000,    0.000,   -2.400,
  257,    0.000,    2.381,   -4.781,
  258,    0.000,    2.381,   -4.781,
  259,    0.000,    2.381,   -4.781,
  260,    0.000,    2.381,   -2.381,
  261,    0.000,    2.381,   -2.381,
  264,    0.000,   -3.571,    0.000,
  265,    0.000,   -3.571,    0.000,
  266,    0.000,   -3.571,    0.000,
  267,    0.000,   -3.571,    0.000,
  272,    0.000,    0.000,   -2.400,
  273,    0.000,    0.000,   -2.400,
  274,    0.000,    0.000,   -2.400,
  275,    0.000,    0.000,   -2.400,
  276,    0.000,    0.000,   -2.400,
  277,    0.000,    0.000,   -2.400,
  278,    0.000,    0.000,   -2.400,
  279,    0.000,    2.381,   -4.781,
  280,    0.000,    2.381,   -4.781,
  281,    0.000,    2.381,   -4.781,
  282,    0.000,    2.381,   -2.381,
  283,    0.000,    2.381,   -2.381,
  286,    0.000,   -3.571,    0.000,
  287,    0.000,   -3.571,    0.000,
  288,    0.000,   -3.571,    0.000,
0
