    np    ne
   109   420

       x         y         z
        69     70
        70     76
        70     77
        70     71
        71     77
        71     78
        71     72
        72     78
        67     73
        72     79
        73     81
        73     74
        74     81
        74     82
        74     75
        75     82
        75     83
        75     76
        76     83
        76     84
        76     77
        77     84
        77     85
        77     78
        78     85
        78     86
        78     79
        79     86
        73     80
        79     87
        80     88
        80     81
        81     88
        81     89
        81     82
        82     89
        82     90
        82     83
        83     90
        83     91
        83     84
        84     91
        84     92
        84     85
        85     92
        85     93
        85     86
        86     93
        86     94
        86     87
        87     94
        88     95
        88     89
        89     95
        89     96
        89     90
        90     96
        90     97
        90     91
        91     97
        91     98
        91     92
        92     98
        92     99
        92     93
        93     99
        93    100
        93     94
        94    100
        95    101
        95     96
        96    101
        96    102
        96     97
        97    102
        97    103
        97     98
        98    103
        98    104
        98     99
        99    104
        99    105
        99    100
       100    105
       101    106
       101    102
       102    106
       102    107
       102    103
       103    107
       103    108
       103    104
       104    108
       104    109
       104    105
       105    109
       106    107
       107    108
       108    109
